Name,Website,Abbr,Active Torrents,Total Torrents,Users,Specialization,Codebase,Join,Tier
Torrent-Syndikat,https://torrent-syndikat.org,TS,276k,335k,?,-,own,Application (unofficial),1
AnimeWorld,https://animeworld.cx,AW,17k,20k,1.3k,Anime,UNIT3D,"Invite, Extreme User on TS",1
BitTorrentFiles,https://bittorrentfiles.me,BTF,136k,154k,1.6k,-,NetVision (custom),Closed,2
World-of-Tomorrow,https://w-o-t.pro,WoT,?,111k,4.3k,-,NetVision (custom),Closed,2
Immortuos,https://immortuos.live,-,80k,83k,1.3k,-,UNIT3D,"Application, Invite",2
TNTracker,https://tntracker.org,TN,69k,69k,?,-,own,Invite,2
New Real World,https://nrw-tracker.eu,NRW,?,47k,?,-,NetVision (custom),Invite,3
The Falling Angels,https://tfa.tf,TFA,37k,38k,?,-,NetVision (custom),"Application, Invite",3
DasUnerwartete,https://dasunerwartete.biz,DU,?,34k,?,-,NetVision (Mauerwerk),"Application, Invite",3
NewHeaven/TorrentHeaven,https://newheaven.nl,NH/TH,27k,31k,2.0k,-,NetVision (custom),Closed,3
Spirit of Revolution,https://sor-next.top,SoR,25k,27k,0.7k,-,NetVision (custom),Invite,3
Dark-Shadow,https://dark-shadow.me,DS,?,23k,?,-,Netvision (Mauerwerk),"Application, Invite",3
Explosiv World,https://explosiv-world.biz,EW,?,21k,?,-,Netvision (Mauerwerk),"Application, Invite",3
New Propaganda,https://irrenhaus.co,NP,18k,20k,?,-,NetVision (custom),Invite,3
Max New Vision,https://mnvv2.info,MNV,15k,19k,0.9k,-,NetVision (custom),Invite,3
The-Crazy-Ones,https://thecrazyones.hopto.org,TCO,14k,14k,?,-,NetVision (custom),Open,3
The-New-Fun,https://the-new-fun.com,TNF,13k,13k,?,-,Netvision (Waitinghill),Application,3
RocketHD,https://rocket-hd.cc%2F,-,9k,11k,1k,-,UNIT3D,"Application, Invite",3
Coastal Music Crew,https://coastal-crew.bounceme.net,CMC,8k,10k,?,-,Netvision (Waitinghill),Open,3
Share Friends Project,https://s-f-p.dyndns.dk,SFP,8k,9k,0.9k,-,NetVision (custom),"Application, Invite",3
JME-REUNIT3D,https://jme-reunit3d.de,JME,8k,9k,0.3k,-,UNIT3D,Invite,3
Speedmaster HD,https://speedmaster-hd.net,SM-HD,8k,8k,0.1k,-,Netvision (custom),Closed,3
Torrent Trader,https://the-torrent-trader.com,TT,7k,8k,?,-,Netvision (Waitinghill),Application,3
The New Retro,https://new-retro.eu,TNR,6k,6k,0.4k,-,Netvision (Waitinghill),Application,3
MaDs Revolution,https://madsrevolution.net,MaDs,5k,6k,1.9k,-,Gazelle,Invite,3
House of Devil,https://h-o-d.org,HoD,3k,3k,?,-,Netvision (Waitinghill),Application,3
Anime Datenbank Tracker,https://adbt.is-into-anime.com,ADBT,2k,3k,0.4k,Anime,NetVision (custom),"Application, Invite",3
The Paradiese,https://theparadiese.hopto.org,TP,2k,2k,?,-,NetVision (custom),Invite,3
OldCrazyFarts,https://oldcrazyfarts.webhop.me,OCF,2k,2k,?,-,NetVision (custom),Invite,3
